Dataset,Method,Metric,Scaler,Cophenet,vanDongen,adjRand
audio_tracks,complete,kulsinski,minMax,0.3109845124036169,0.9813793103448276,0.002886929837999752
audio_tracks,complete,kulsinski,standard,,0.9813793103448276,0.002886929837999752
audio_tracks,average,kulsinski,minMax,0.24170914436350155,0.9764957264957265,0.0007119572729655871
audio_tracks,average,kulsinski,standard,,0.9764957264957265,0.0007119572729655871
audio_tracks,single,mahalanobis,minMax,0.4171856305976244,0.9982817869415808,-2.0355427958589123e-05
audio_tracks,single,mahalanobis,standard,0.6275732317371564,0.9982817869415808,-2.0355427958589123e-05
audio_tracks,complete,mahalanobis,minMax,0.21658777781752903,0.9949008498583569,-0.0002424270712207361
audio_tracks,complete,mahalanobis,standard,0.3235454765431596,0.9949008498583569,-0.0002424270712207361
audio_tracks,average,mahalanobis,minMax,0.4097516766730515,0.9982837528604119,-2.781745009236113e-06
audio_tracks,average,mahalanobis,standard,0.6175313065629824,0.9982837528604119,-2.781745009236113e-06
audio_tracks,single,matching,minMax,0.06831719104058837,0.997709049255441,0.00015815210556535835
audio_tracks,single,matching,standard,0.030363254511814635,0.997709049255441,0.00015815210556535835
audio_tracks,complete,matching,minMax,0.2819273793783109,0.9426203379024546,0.010775108519455606
audio_tracks,complete,matching,standard,0.08041136729294668,0.9426203379024546,0.010775108519455606
audio_tracks,average,matching,minMax,0.3346194583126301,0.9595588235294118,0.012308532461818478
audio_tracks,average,matching,standard,0.12244757699509828,0.9595588235294118,0.012308532461818478
audio_tracks,single,minkowski,minMax,0.4900374442974082,0.9971428571428571,0.00014830785845359266
audio_tracks,single,minkowski,standard,0.6683918888619257,0.9971428571428571,0.00014830785845359266
audio_tracks,complete,minkowski,minMax,0.5074901479861822,0.9845303867403314,0.001857263690739113
audio_tracks,complete,minkowski,standard,0.39253456927612096,0.9845303867403314,0.001857263690739113
audio_tracks,average,minkowski,minMax,0.607562500036173,0.969963749352667,0.005245672535012073
audio_tracks,average,minkowski,standard,0.7150299691413126,0.969963749352667,0.005245672535012073
audio_tracks,single,rogerstanimoto,minMax,0.31853813486885346,0.9687162891046386,0.0012439476448616715
audio_tracks,single,rogerstanimoto,standard,,0.9687162891046386,0.0012439476448616715
audio_tracks,complete,rogerstanimoto,minMax,0.3167970784056193,0.9671742808798647,0.005694415769857917
audio_tracks,complete,rogerstanimoto,standard,,0.9671742808798647,0.005694415769857917
audio_tracks,average,rogerstanimoto,minMax,0.27482798213193366,0.9678348535765723,0.00352683811218611
audio_tracks,average,rogerstanimoto,standard,,0.9678348535765723,0.00352683811218611
audio_tracks,single,russellrao,minMax,0.1797863245816927,0.9994272623138603,-4.615131430598038e-05
audio_tracks,single,russellrao,standard,,0.9994272623138603,-4.615131430598038e-05
audio_tracks,complete,russellrao,minMax,0.21350735574876045,0.9882955376737381,0.002723547080558992
audio_tracks,complete,russellrao,standard,,0.9882955376737381,0.002723547080558992
audio_tracks,average,russellrao,minMax,0.2192524900667462,0.9994272623138603,-4.615131430598038e-05
audio_tracks,average,russellrao,standard,,0.9994272623138603,-4.615131430598038e-05
audio_tracks,single,seuclidean,minMax,0.44081582777545497,0.997709049255441,-1.5196250689110875e-05
audio_tracks,single,seuclidean,standard,0.6683918888619256,0.997709049255441,-1.5196250689110875e-05
audio_tracks,complete,seuclidean,minMax,0.3709522474694364,0.8008940852819807,0.12582613472444992
audio_tracks,complete,seuclidean,standard,0.3925345692761207,0.8008940852819807,0.12582613472444992
audio_tracks,average,seuclidean,minMax,0.5479673201391202,0.9977103606182026,-3.676842111898617e-05
audio_tracks,average,seuclidean,standard,0.7150299691413118,0.9977103606182026,-3.676842111898617e-05
audio_tracks,single,sokalmichener,minMax,0.31853813486885346,0.9687162891046386,0.0012439476448616715
audio_tracks,single,sokalmichener,standard,,0.9687162891046386,0.0012439476448616715
audio_tracks,complete,sokalmichener,minMax,0.3167970784056193,0.9671742808798647,0.005694415769857917
audio_tracks,complete,sokalmichener,standard,,0.9671742808798647,0.005694415769857917
audio_tracks,average,sokalmichener,minMax,0.27482798213193366,0.9678348535765723,0.00352683811218611
audio_tracks,average,sokalmichener,standard,,0.9678348535765723,0.00352683811218611
audio_tracks,single,sokalsneath,minMax,0.3182066980505111,0.9764957264957265,0.0007119572729655871
audio_tracks,single,sokalsneath,standard,,0.9764957264957265,0.0007119572729655871
audio_tracks,complete,sokalsneath,minMax,0.3133219715153966,0.9813793103448276,0.002886929837999752
audio_tracks,complete,sokalsneath,standard,,0.9813793103448276,0.002886929837999752
audio_tracks,average,sokalsneath,minMax,0.3345451485382028,0.9742765273311897,0.003102479913231816
audio_tracks,average,sokalsneath,standard,,0.9742765273311897,0.003102479913231816
audio_tracks,single,sqeuclidean,minMax,0.47535517816249956,0.9971428571428571,0.00014830785845359266
audio_tracks,single,sqeuclidean,standard,0.6527727154228395,0.9971428571428571,0.00014830785845359266
audio_tracks,complete,sqeuclidean,minMax,0.5080477226028492,0.9845303867403314,0.001857263690739113
audio_tracks,complete,sqeuclidean,standard,0.3817384396507423,0.9845303867403314,0.001857263690739113
audio_tracks,average,sqeuclidean,minMax,0.6047332036498214,0.9855715871254163,0.0015660749321533781
audio_tracks,average,sqeuclidean,standard,0.7123052827563248,0.9855715871254163,0.0015660749321533781
