Dataset,Method,Metric,Scaler,Cophenet,vanDongen,adjRand
audio_features,average,hamming,minMax,0.4441002508891181,0.9582637729549248,0.01474025274169371
audio_features,average,hamming,standard,0.2154050024825507,0.9582637729549248,0.01474025274169371
audio_features,single,jaccard,minMax,0.12567330613154293,0.997709049255441,0.00011068767468615844
audio_features,single,jaccard,standard,0.06971075083417363,0.997709049255441,0.00011068767468615844
audio_features,complete,jaccard,minMax,0.17947347700796076,0.9610894941634242,0.00594612574484753
audio_features,complete,jaccard,standard,0.16063916517109833,0.9610894941634242,0.00594612574484753
audio_features,average,jaccard,minMax,0.20758408177556897,0.9456471672040534,0.014251071680595733
audio_features,average,jaccard,standard,0.2154050024825507,0.9456471672040534,0.014251071680595733
audio_features,single,kulsinski,minMax,0.35835970841590065,0.9994272623138603,-4.615131430598038e-05
audio_features,single,kulsinski,standard,,0.9994272623138603,-4.615131430598038e-05
audio_features,complete,kulsinski,minMax,0.42681939493330745,0.9813793103448276,0.002886929837999752
audio_features,complete,kulsinski,standard,,0.9813793103448276,0.002886929837999752
audio_features,average,kulsinski,minMax,0.35539794811095,0.9764957264957265,0.0007119572729655871
audio_features,average,kulsinski,standard,,0.9764957264957265,0.0007119572729655871
audio_features,single,mahalanobis,minMax,0.2302163198976847,0.997709049255441,4.8777547452419434e-05
audio_features,single,mahalanobis,standard,0.5759153274332971,0.997709049255441,4.8777547452419434e-05
audio_features,complete,mahalanobis,minMax,0.2019192129147964,0.9829015544041451,0.00012729287115367916
audio_features,complete,mahalanobis,standard,0.5229786444263348,0.9829015544041451,0.00012729287115367916
audio_features,average,mahalanobis,minMax,0.2718499516955199,0.9977103606182026,3.03465466694636e-05
audio_features,average,mahalanobis,standard,0.6677396553574262,0.9977103606182026,3.03465466694636e-05
audio_features,single,matching,minMax,0.09317591252643667,0.997709049255441,0.00015815210556535835
audio_features,single,matching,standard,0.06971075083417363,0.997709049255441,0.00015815210556535835
audio_features,complete,matching,minMax,0.37859894183789955,0.9426203379024546,0.010775108519455606
audio_features,complete,matching,standard,0.16063916517109833,0.9426203379024546,0.010775108519455606
audio_features,average,matching,minMax,0.4441002508891181,0.9582637729549248,0.01474025274169371
audio_features,average,matching,standard,0.2154050024825507,0.9582637729549248,0.01474025274169371
